,Electromagnetic Compatibility,Milestones and Reviews,Configuration and Information Management,Modeling Language SysML v1.x,Modeling Frameworks and Methods,Lifecycle Phases,Architecture Definition Process,Cost Modeling,Generic Life Cycle Stages,"Reliability, Availability, and Maintainability","Supportability, Producibility and Disposability",Modeling and Simulation,Identifying Stakeholder Needs and Generating Requirements,Risk and Opportunity Management Process,"Decision Management, Analysis of Alternatives, and Tradespace Analysis",System Concepts and Structures,Usability and Human Systems Integration,Application and Value of Systems Engineering,System Safety Engineering,Systems Science and Thinking,Mean Delta,Median Delta
phi3__14b,0.22776315789473683,0.13380434782608697,0.21378787878787878,0.17075,0.31173076923076926,0.08846153846153847,0.11958333333333333,0.09980769230769232,0.15899999999999997,0.15722222222222224,0.16477777777777777,0.24500000000000005,0.13066666666666665,0.1955263157894737,0.19940000000000002,0.11767441860465118,0.16171875,0.12045454545454545,0.27375,0.0175,0.16541897071786865,0.16171875
phi4-mini__3.8b,0.2657894736842105,0.08065217391304348,0.16515151515151516,0.24512499999999998,0.2551282051282051,0.13025641025641027,0.1758333333333333,0.10153846153846155,0.16724999999999998,0.1814814814814815,0.16555555555555557,0.28,0.09375,0.18657894736842104,0.2002,0.1444186046511628,0.171171875,0.10636363636363635,0.21375,0.14555555555555555,0.17377751144904963,0.171171875
gemma3__12b,0.20118421052631577,0.10239130434782609,0.15272727272727274,0.057406250000000006,0.18147435897435896,0.039679487179487175,0.062083333333333345,0.14846153846153848,0.09725000000000002,0.11185185185185186,0.09,0.065,0.07808333333333334,0.1618421052631579,0.1834,0.11255813953488372,0.11351562500000001,0.09727272727272727,0.15750000000000003,0.11138888888888891,0.1162535213347488,0.11185185185185186
phi3.5__3.8b,0.13105263157894737,0.11369565217391306,0.24939393939393942,0.17496875,0.19615384615384615,0.08878205128205129,0.09291666666666666,0.14192307692307693,0.1555,0.11564814814814815,0.10977777777777778,0.46,0.0965,0.18105263157894738,0.1766,0.1630232558139535,0.180390625,0.16636363636363638,0.24875000000000003,0.15388888888888888,0.16981907888718967,0.1630232558139535
mistral-large__123b,-0.011710526315789472,0.014673913043478261,-0.01621212121212121,0.0755625,0.03705128205128205,-0.0017307692307692295,0.059166666666666666,0.0575,0.08399999999999999,0.05842592592592593,0.07100000000000001,0.020000000000000018,0.039,0.13026315789473686,0.1268,0.07604651162790697,0.100078125,0.06727272727272728,0.10750000000000003,0.11944444444444444,0.06070659185842443,0.06070659185842443
gemma3__4b,0.19999999999999998,0.11717391304347825,0.19499999999999998,0.07396875,0.17442307692307693,0.08301282051282051,-0.06541666666666666,0.13557692307692307,0.0945,0.1062962962962963,0.06922222222222223,0.42000000000000004,0.07216666666666667,0.15657894736842104,0.151,0.10302325581395348,0.13265625,0.20954545454545456,0.2025,0.10722222222222223,0.13692250660124344,0.13265625
llama3.2__3b,0.3939473684210526,0.37326086956521737,0.3440909090909091,0.19996875,0.42275641025641025,0.5049358974358974,0.39875,0.41230769230769226,0.63325,0.2597685185185185,0.48377777777777775,0.34500000000000003,0.31525,0.42315789473684207,0.6636,0.506860465116279,0.57203125,0.6327272727272727,0.47375,0.5033333333333334,0.4431262204643602,0.42315789473684207
gemma3__1b,0.06802631578947368,0.09239130434782608,0.10227272727272729,0.05671875,0.21987179487179484,0.08249999999999999,-0.09875,0.05038461538461539,0.16325,-0.021064814814814814,0.111,0.5249999999999999,-0.0014166666666666624,0.11973684210526316,0.159,0.11569767441860464,0.14421875,0.17636363636363636,0.20500000000000002,0.07194444444444444,0.11710726867584523,0.111
llama3.2__1b,0.21789473684210525,0.0941304347826087,0.23060606060606062,0.10896874999999999,0.1987179487179487,-0.03801282051282052,-0.17916666666666667,0.053653846153846156,0.07325000000000001,0.08574074074074074,0.2228888888888889,0.565,0.16475,0.0015789473684210496,0.0352,0.0794186046511628,0.206171875,-0.05909090909090908,0.39875,0.11722222222222221,0.12888363298518044,0.10896874999999999
Mean (across models),0.12279778393351799,0.09553203661327232,0.1649122807017544,0.1180394736842105,0.18594103434765577,0.09332995951417002,0.07865751334858886,0.1060931174089069,0.13882894736842105,0.10249512670565303,0.14366374269005852,0.19631578947368422,0.09375877192982456,0.15367036011080334,0.18198281417830287,0.130593635250918,0.1571546052631579,0.13898496240601502,0.17638157894736844,0.13509440267335007,0.1357113968274817,0.13228955595876565
Median (across models),0.10052631578947369,0.08228260869565218,0.17257575757575758,0.10896874999999999,0.18064102564102563,0.08249999999999999,0.09291666666666666,0.09980769230769232,0.09775,0.09662037037037037,0.12033333333333333,0.10500000000000004,0.08675000000000001,0.1386842105263158,0.159,0.11255813953488372,0.13132812500000002,0.11863636363636365,0.15750000000000003,0.11944444444444444,0.11710726867584523,0.111
